Serial No.,Name of the Apartment,Coordinates x,coordinates y
1,"A L Helen Ksrtc Bondel Road ,Mangaluru",12.886096,74.849454
3,"Aadhee, Lobo Lane, Mangaluru",12.878150,74.855924
4,"Aadheesh, M.G Road, Mangaluru",12.878019,74.840528
5,Aadheeshwari Apt Field Street Road Mangalore,12.872625,74.838474
6,Aadhi Apt Kadri Kaibattal Road Mangalore,12.885176,74.859355
7,Aashna Apt Yemmekere Road Mangalore,12.851369,74.842703
8,Abhi Residency Sulthan Bathery Road,12.889611,74.830055
11,Abhiman Apt Bharathi Nagara Cross Road Kodialguthu,12.882473,74.842818
12,Abhiman Chambers Kudmal Ranga Rao Road Mangalore,12.876908,74.848609
15,Abhiman Heights Nadiguthu 2Nd Cross Road Mangalore,12.899000,74.855754
16,Abhiman Hills Light House Hill Road Mangalore,12.871394,74.844301
17,"Abhiman Mansion, Karangalpady Bejai Rd, Mangaluru",12.881938,74.846302
18,Abhiman Plaza Kadri Bunts Hostel Road Mangalore,12.877095,74.848207
19,Abhiman Residency Attavara Nanndigudde Road Mangalore,12.877033,74.848589
20,Abhiman Texas Collectors Gate To Upper Bendoor Circle Mangalore,12.874510,74.854421
22,Abhish Homes Subhash Nagar Road,12.852100,74.839709
25,Abiman Gardens Kadri Mangalore,12.878655,74.853688
26,"Abiman Palace, Mannagudda, Mangaluru",12.884903,74.833761
27,"Abish A Mangaladevi, Mangaluru",12.859399,74.846864
30,Abish Diamond Ashok Nagara Mangalore,12.903378,74.824377
32,"Abish Homes Subhash Nagar, Mangaluru",12.851803,74.839608
34,Abish Pearl Attavar Mangalore,12.859855,74.846741
35,Abish Promenade Kadri Kambla Mangalore,12.883066,74.849531
36,Abish Ruby Ashok Nagar Mangalore,12.903345,74.824388
38,"Abode ( R) Kalpana Road, Vaslane, Mangaluru",12.871101,74.854699
39,Ace Apple View Bejai Mangalore,12.879769,74.855770
40,Ace Destiny Ladyhill Mangalore,12.888075,74.836740
41,Ace Felmag Near Lady Hill Church Mangalore,12.890307,74.832748
42,Ace View Near Museum Bejai Mangalore,12.879685,74.855813
43,"Acropolis ( R) Light House Hill, Mangaluru",12.870431,74.843120
44,"Adelphia, Britto Lane, Falnir, Mangaluru",12.865335,74.848508
45,Adhitya Nehru Avenue Cross Road Mangalore,12.885309,74.837398
47,Adithi Matadakani Cross Road Mangalore,12.877444,74.844238
48,Adithya Commercial Complex Mangalore,12.886165,74.842211
49,Aditya Homes Mangalore,12.891231,74.852310
50,Adonai Towers Falnir Road Mangalore,12.868233,74.850522
51,"Adonia, Alvares Road, Kadri, Mangaluru",12.880989,74.858303
52,"Agraja Shilas, Urwa, Mangaluru",12.894620,74.826693
53,"Agraja Vivanta, Mannagudda, Mangaluru",12.887800,74.830803
54,Aishani Apt Ballalbagh Sri Devi College Road Mangalore,12.883768,74.842037
55,Aishwarya Residency Ashiyana Road Mangalore,12.911567,74.831388
56,"Ajantha Apt (R ), Gandhi Nagar, Mangaluru",12.886361,74.830499
57,Akash Towers Chilimbi Mangalore,12.897531,74.835571
59,Akbuqueraque House Pandeshwar Road,12.858940,74.839232
61,Akshatha Palace Gokarnateshwara Temple Road Mangalore,12.872393,74.833171
62,Akshaya Bunts Hostel Mangalore,12.902885,74.844832
68,Alice Manor Kudmal Ranga Rao Road Mangalore,12.874889,74.847346
69,Alison Heights Balikashrama Road Mangalore,12.869007,74.858458
70,Allego Aristoo Enclave,12.869373,74.842978
71,Allego Aureus Kankanady Mangalore,12.869877,74.854251
74,"Amber, Urwa, Mangaluru",12.890244,74.827932
76,Amora Opp Bhat Nursing Home Gandhinagara Main Road Mangalore,12.887967,74.832970
77,Amratha Apt Bhagavathi Nagar Mangalore,12.880013,74.837379
78,Amritha Enclave Matadakaniroad Mangalore,12.884196,74.829825
79,Anand Apt Pintos Lane Mangalore,12.878346,74.847049
81,Anantha Krishna Apartment Mahalasa Temple Road Maryhill Junction To Ishwara Katte Road,12.905735,74.863981
82,Ananya Residency Land Links Main Road Mangalore,12.905096,74.853101
85,Aniq Plaza Azizuddin Main Road Mangalore,12.868603,74.832987
87,Anmol Arcade Urwa Store To Ashok Nagar Mangalore,12.897100,74.830666
88,Anmol Marigudi Heights Mangalore,12.891955,74.827201
89,Anmol Place Kulur Ferry Road Mangalore,12.884108,74.834847
90,Annabelle Manor -1 Bejai Kme Trunk Road Mangalore,12.888292,74.842449
91,Annanya Apt Bolara Main Road Mangalore,12.879598,74.839245
93,Annapoorna Hill Ksrtc To Baliga Store Cross Road Manmgalore,12.889974,74.840385
94,Annapoorna Nagar Ashoknagar Ashoknagar Cross Road Mangalore,12.906248,74.824085
95,Annapoorna River Side Boloor Road Mangalore,12.905945,74.824138
97,Anshul Residency Kadri Road Mangalore,12.875953,74.862019
98,Anugraha Apt Central Ware House Road Mangalore,12.880504,74.836136
99,Anugraha Apt Kadri Temple New Road Mangalore,12.882008,74.835733
100,Anusha Aditya Kees Road Mangalore,12.933442,74.841038
101,Anveet Apartment Urwa Marigudi Road Mangalore,12.890636,74.829863
102,Apeksha Residency Kmc Medical College 1St Cross Road Mangalore,12.881123,74.836239
103,Apoorva Apartment Kambla Cross Road Mangalore,12.879739,74.838113
105,"Apple Cottage ,Derebail, Mangaluru",12.909107,74.848998
106,"Apple Homes, Shakthinagar, Mangaluru",12.908634,74.875777
108,"Apple Park, Ballalbagh, Mangaluru",12.882725,74.842146
112,Aradhaan Apt Kodial Cross Road Mangalore,12.900873,74.830708
114,"Aria, Alvares Road, Mangaluru",12.882188,74.857948
115,"Aristaa, Mangaladevi Rd, Mangaluru",12.852791,74.850582
116,Arjun Side Of Bhagavathi Nagar Road,12.881622,74.836964
118,Ashok Manner,12.878940,74.859888
120,"Ashoka Elite, Urwa, Mangaluru",12.894142,74.827708
121,"Ashoka Enclave, Hoigebail, Urwa, Mangaluru",12.894282,74.829146
123,"Ashoka Excellency, Urwa Market, Mangaluru",12.893194,74.829195
124,"Ashoka Majestic, Urwa Stores, Mangaluru",12.899357,74.833689
125,Ashoka Palace Jai Hindu Road,12.869960,74.847150
126,"Ashoka Paradise, Ashoka Nagara, Urwa, Mangaluru",12.896953,74.826408
127,Ashoka Park Matadakani,12.888665,74.826507
128,"Ashoka Residency, Urwa, Mangaluru",12.894690,74.828735
129,Ashraya Apt Attavara Babbugudda Road,12.873271,74.838618
130,Ashreen Apt Maladi Hose Road,12.889221,74.842410
132,Asta Lake Side Morgans Gate Road,12.847265,74.849019
133,Aster Park Bejai Kapikad Road,12.893393,74.841341
135,Atlantis Bendoorwell Mangalore,12.872792,74.857017
136,Attavara Palace B Block J.V Rouch 2Nd Cross Road,12.861554,74.849832
138,Auram Kadri Kambula,12.880988,74.848410
139,"Aureus, Vaslane, Mangaluru",12.869584,74.854272
142,Ave Maria Apt Bhjagini Sampage Road,12.849570,74.850326
